,reactKey,timeStr,type,time,overloadTime,profileUrl,overloadTimeStr,isHome,injuredPlayerOut,swap,player.id,player.profileUrl,ownGoal,suffix,isPenaltyShootoutEvent,nameStr,firstName,lastName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,player.name,assistPlayerId,match_id,teamid,card,halfStrShort,eventId
9,84SubstitutionNaN621545true,84,Substitution,84,,/players/NaN/,False,True,False,"[{'name': 'Jay Chapman', 'id': '621545', 'profileUrl': '/players/621545/jay-chapman'}, {'name': 'Luke Moore', 'id': '23788', 'profileUrl': '/players/23788/luke-moore'}]",,/players/undefined/,,,,,,,,,,,,,,1894744,56453.0,,,
0,36Goal0undefinedtrue,36,Goal,36,,/players/0/gershon-koffie,False,True,,,0.0,/players/0/gershon-koffie,,,False,Gershon Koffie,Gershon,Koffie,0.0,"[1, 0]",,,,Gershon Koffie,,1894743,307691.0,,,
1,45Goal0undefinedfalse,45,Goal,45,,/players/0/javier-damian-morales,False,False,,,0.0,/players/0/javier-damian-morales,,,False,Javier Damian Morales,Javier Damian,Morales,0.0,"[1, 1]",,,,Javier Damian Morales,,1894743,6606.0,,,
2,68SubstitutionNaN432182true,68,Substitution,68,,/players/NaN/,False,True,False,"[{'name': 'Kekuta Manneh', 'id': '432182', 'profileUrl': '/players/432182/kekuta-manneh'}, {'name': 'Mauro Rosales', 'id': '30540', 'profileUrl': '/players/30540/mauro-rosales'}]",,/players/undefined/,,,,,,,,,,,,,,1894743,307691.0,,,
3,70SubstitutionNaN282272false,70,Substitution,70,,/players/NaN/,False,False,False,"[{'name': 'Olmes Garcia', 'id': '282272', 'profileUrl': '/players/282272/olmes-garcia'}, {'name': 'Joao Plata', 'id': '215423', 'profileUrl': '/players/215423/joao-plata'}]",,/players/undefined/,,,,,,,,,,,,,,1894743,6606.0,,,
4,79Goal0undefinedtrue,79,Goal,79,,/players/0/cristian-techera,False,True,,,0.0,/players/0/cristian-techera,,,False,Cristian Techera,Cristian,Techera,0.0,"[2, 1]",,,,Cristian Techera,,1894743,307691.0,,,
5,81SubstitutionNaN198448false,81,Substitution,81,,/players/NaN/,False,False,False,"[{'name': 'Luis Gil', 'id': '198448', 'profileUrl': '/players/198448/luis-gil'}, {'name': 'John Stertzer', 'id': '431995', 'profileUrl': '/players/431995/john-stertzer'}]",,/players/undefined/,,,,,,,,,,,,,,1894743,6606.0,,,
6,84SubstitutionNaN41564false,84,Substitution,84,,/players/NaN/,False,False,False,"[{'name': 'Álvaro Saborio', 'id': '41564', 'profileUrl': '/players/41564/álvaro-saborio'}, {'name': 'Sebastian Jaime', 'id': '190670', 'profileUrl': '/players/190670/sebastian-jaime'}]",,/players/undefined/,,,,,,,,,,,,,,1894743,6606.0,,,
7,87SubstitutionNaN309555true,87,Substitution,87,,/players/NaN/,False,True,False,"[{'name': 'Darren Mattocks', 'id': '309555', 'profileUrl': '/players/309555/darren-mattocks'}, {'name': 'Cristian Techera', 'id': '206302', 'profileUrl': '/players/206302/cristian-techera'}]",,/players/undefined/,,,,,,,,,,,,,,1894743,307691.0,,,
8,90SubstitutionNaN255653true,90,Substitution,90,,/players/NaN/,False,True,False,"[{'name': 'Russell Teibert', 'id': '255653', 'profileUrl': '/players/255653/russell-teibert'}, {'name': 'Pedro Morales', 'id': '50473', 'profileUrl': '/players/50473/pedro-morales'}]",,/players/undefined/,,,,,,,,,,,,,,1894743,307691.0,,,
0,5Goal0undefinedfalse,5,Goal,5,,/players/0/sebastien-le-toux,False,False,,,0.0,/players/0/sebastien-le-toux,,,False,Sebastien Le Toux,Sebastien,Le Toux,0.0,"[0, 1]",,assist by Andrew Wenger,/players/0/andrew-wenger,Sebastien Le Toux,0.0,1894339,191716.0,,,
1,45Goal0undefinedtrue,45,Goal,45,,/players/0/chris-pontius,False,True,,,0.0,/players/0/chris-pontius,,,False,Chris Pontius,Chris,Pontius,0.0,"[1, 1]",,assist by Taylor Kemp,/players/0/taylor-kemp,Chris Pontius,0.0,1894339,6602.0,,,
2,65SubstitutionNaN51960true,65,Substitution,65,,/players/NaN/,False,True,False,"[{'name': 'Jairo Arrieta', 'id': '51960', 'profileUrl': '/players/51960/jairo-arrieta'}, {'name': 'Conor Doyle', 'id': '210961', 'profileUrl': '/players/210961/conor-doyle'}]",,/players/undefined/,,,,,,,,,,,,,,1894339,6602.0,,,
3,72SubstitutionNaN254991false,72,Substitution,72,,/players/NaN/,False,False,False,"[{'name': 'Charles Sapong', 'id': '254991', 'profileUrl': '/players/254991/charles-sapong'}, {'name': 'Fernando Aristeguieta', 'id': '211146', 'profileUrl': '/players/211146/fernando-aristeguieta'}]",,/players/undefined/,,,,,,,,,,,,,,1894339,191716.0,,,
4,73SubstitutionNaN254973true,73,Substitution,73,,/players/NaN/,False,True,False,"[{'name': 'Christopher Korb', 'id': '254973', 'profileUrl': '/players/254973/christopher-korb'}, {'name': 'Taylor Kemp', 'id': '431927', 'profileUrl': '/players/431927/taylor-kemp'}]",,/players/undefined/,,,,,,,,,,,,,,1894339,6602.0,,,
5,75SubstitutionNaN619878true,75,Substitution,75,,/players/NaN/,False,True,False,"[{'name': 'Miguel Aguilar', 'id': '619878', 'profileUrl': '/players/619878/miguel-aguilar'}, {'name': 'Chris Pontius', 'id': '168387', 'profileUrl': '/players/168387/chris-pontius'}]",,/players/undefined/,,,,,,,,,,,,,,1894339,6602.0,,,
