,id,usingOptaId,imageUrl,pageUrl,shirt,isHomeTeam,timeSubbedOn,timeSubbedOff,usualPosition,positionRow,role,events,name.firstName,name.lastName,events.sub.subbedOut,match_id,teamid,events.as,events.g,minutesPlayed,shotmap,stats,rating.num,rating.bgcolor,rating.isTop.isTopRating,rating.isTop.isMatchFinished,fantasyScore.bgcolor,teamData.home.id,teamData.home.color,teamData.away.id,teamData.away.color,events.ycrc,events.yc,events.rc,events.og
0,198454,False,https://images.fotmob.com/image_resources/playerimages/198454.png,/players/198454/steven-beitashour,33,True,,,1,1,Defender,,Steven,Beitashour,,1883626,307691.0,,,,,,,,,,,,,,,,,,
1,119019,False,https://images.fotmob.com/image_resources/playerimages/119019.png,/players/119019/kendall-waston,4,True,,,1,1,Defender,,Kendall,Waston,,1883626,307691.0,,,,,,,,,,,,,,,,,,
2,26593,False,https://images.fotmob.com/image_resources/playerimages/26593.png,/players/26593/pa-modou-kah,44,True,,,1,1,Defender,,Pa Modou,Kah,,1883626,307691.0,,,,,,,,,,,,,,,,,,
3,115924,False,https://images.fotmob.com/image_resources/playerimages/115924.png,/players/115924/jordan-harvey,2,True,,,1,1,Defender,,Jordan,Harvey,,1883626,307691.0,,,,,,,,,,,,,,,,,,
0,209306,False,https://images.fotmob.com/image_resources/playerimages/209306.png,/players/209306/matias-laba,15,True,,83,2,2,Midfielder,,Matias,Laba,83.0,1883626,307691.0,,,,,,,,,,,,,,,,,,
1,255653,False,https://images.fotmob.com/image_resources/playerimages/255653.png,/players/255653/russell-teibert,31,True,,64,2,2,Midfielder,,Russell,Teibert,64.0,1883626,307691.0,,,,,,,,,,,,,,,,,,
0,30540,False,https://images.fotmob.com/image_resources/playerimages/30540.png,/players/30540/mauro-rosales,7,True,,65.0,2,3,Midfielder,,Mauro,Rosales,65.0,1883626,307691.0,,,,,,,,,,,,,,,,,,
1,50473,False,https://images.fotmob.com/image_resources/playerimages/50473.png,/players/50473/pedro-morales,77,True,,,2,3,Midfielder,,Pedro,Morales,,1883626,307691.0,,,,,,,,,,,,,,,,,,
2,432182,False,https://images.fotmob.com/image_resources/playerimages/432182.png,/players/432182/kekuta-manneh,23,True,,,2,3,Midfielder,,Kekuta,Manneh,,1883626,307691.0,,,,,,,,,,,,,,,,,,
0,410821,False,https://images.fotmob.com/image_resources/playerimages/410821.png,/players/410821/octavio-rivero,29,True,,,3,5,Attacker,,Octavio,Rivero,,1883626,307691.0,,,,,,,,,,,,,,,,,,
0,70246,False,https://images.fotmob.com/image_resources/playerimages/70246.png,/players/70246/robbie-findley,55,False,,77.0,3,5,Attacker,,Robbie,Findley,77.0,1883626,56453.0,,,,,,,,,,,,,,,,,,
1,70297,False,https://images.fotmob.com/image_resources/playerimages/70297.png,/players/70297/jozy-altidore,17,False,,,3,5,Attacker,,Jozy,Altidore,,1883626,56453.0,,,,,,,,,,,,,,,,,,
0,96540,False,https://images.fotmob.com/image_resources/playerimages/96540.png,/players/96540/sebastian-giovinco,10,False,,80,2,3,Midfielder,,Sebastian,Giovinco,80.0,1883626,56453.0,,,,,,,,,,,,,,,,,,
0,26112,False,https://images.fotmob.com/image_resources/playerimages/26112.png,/players/26112/benoit-cheyrou,8,False,,,2,2,Midfielder,,Benoit,Cheyrou,,1883626,56453.0,,,,,,,,,,,,,,,,,,
1,26472,False,https://images.fotmob.com/image_resources/playerimages/26472.png,/players/26472/michael-bradley,4,False,,,2,2,Midfielder,,Michael,Bradley,,1883626,56453.0,,,,,,,,,,,,,,,,,,
2,432605,False,https://images.fotmob.com/image_resources/playerimages/432605.png,/players/432605/jonathan-osorio,21,False,,,2,2,Midfielder,,Jonathan,Osorio,,1883626,56453.0,,,,,,,,,,,,,,,,,,
0,198458,False,https://images.fotmob.com/image_resources/playerimages/198458.png,/players/198458/justin-morrow,2,False,,,1,1,Defender,,Justin,Morrow,,1883626,56453.0,,,,,,,,,,,,,,,,,,
1,26345,False,https://images.fotmob.com/image_resources/playerimages/26345.png,/players/26345/damien-perquis,24,False,,,1,1,Defender,,Damien,Perquis,,1883626,56453.0,,,,,,,,,,,,,,,,,,
2,24452,False,https://images.fotmob.com/image_resources/playerimages/24452.png,/players/24452/steven-caldwell,13,False,,,1,1,Defender,,Steven,Caldwell,,1883626,56453.0,,,,,,,,,,,,,,,,,,
3,315278,False,https://images.fotmob.com/image_resources/playerimages/315278.png,/players/315278/warren-creavalle,3,False,,,1,1,Defender,,Warren,Creavalle,,1883626,56453.0,,,,,,,,,,,,,,,,,,
0,199909,False,https://images.fotmob.com/image_resources/playerimages/199909.png,/players/199909/joe-bendik,12,False,,,0,0,Keeper,,Joe,Bendik,,1883626,56453.0,,,,,,,,,,,,,,,,,,
0,70338,False,https://images.fotmob.com/image_resources/playerimages/70338.png,/players/70338/chris-seitz,18,True,,,0,0,Keeper,,Chris,Seitz,,1883633,7949.0,,,,,,,,,,,,,,,,,,
0,70329,False,https://images.fotmob.com/image_resources/playerimages/70329.png,/players/70329/atiba-harris,14,True,,89.0,1,1,Defender,,Atiba,Harris,89.0,1883633,7949.0,,,,,,,,,,,,,,,,,,
1,308973,False,https://images.fotmob.com/image_resources/playerimages/308973.png,/players/308973/matt-hedges,24,True,,,1,1,Defender,,Matt,Hedges,,1883633,7949.0,,,,,,,,,,,,,,,,,,
2,198435,False,https://images.fotmob.com/image_resources/playerimages/198435.png,/players/198435/zach-loyd,17,True,,,1,1,Defender,,Zach,Loyd,,1883633,7949.0,,,,,,,,,,,,,,,,,,
3,254964,False,https://images.fotmob.com/image_resources/playerimages/254964.png,/players/254964/moises-hernandez,3,True,,,1,1,Defender,,Moises,Hernandez,,1883633,7949.0,,,,,,,,,,,,,,,,,,
0,254959,False,https://images.fotmob.com/image_resources/playerimages/254959.png,/players/254959/victor-ulloa,8,True,,,2,2,Midfielder,,Victor,Ulloa,,1883633,7949.0,,,,,,,,,,,,,,,,,,
0,526311,False,https://images.fotmob.com/image_resources/playerimages/526311.png,/players/526311/tesho-akindele,13,True,,,2,3,Midfielder,,Tesho,Akindele,,1883633,7949.0,,,,,,,,,,,,,,,,,,
1,163806,False,https://images.fotmob.com/image_resources/playerimages/163806.png,/players/163806/mauro-diaz,10,True,,86.0,2,3,Midfielder,,Mauro,Diaz,86.0,1883633,7949.0,,,,,,,,,,,,,,,,,,
2,525623,False,https://images.fotmob.com/image_resources/playerimages/525623.png,/players/525623/ryan-hollingshead,12,True,,75.0,2,3,Midfielder,,Ryan,Hollingshead,75.0,1883633,7949.0,,,,,,,,,,,,,,,,,,
0,207524,False,https://images.fotmob.com/image_resources/playerimages/207524.png,/players/207524/fabian-castillo,11,True,,,3,5,Attacker,,Fabian,Castillo,,1883633,7949.0,,,,,,,,,,,,,,,,,,
1,50281,False,https://images.fotmob.com/image_resources/playerimages/50281.png,/players/50281/blas-perez,7,True,,,3,5,Attacker,,Blas,Perez,,1883633,7949.0,,,,,,,,,,,,,,,,,,
0,69756,False,https://images.fotmob.com/image_resources/playerimages/69756.png,/players/69756/chris-wondolowski,8,False,,,3,5,Attacker,,Chris,Wondolowski,,1883633,6603.0,,,,,,,,,,,,,,,,,,
